track_id,bit_rate,comments,composer,date_created,date_recorded,duration,favorites,genre_top,genres,genres_all,information,interest,language_code,license,listens,lyricist,number,publisher,tags,title,acousticness,danceability,energy,instrumentalness,liveness,speechiness,tempo,valence
153,256000,0,Arc and Sender,2008-11-26 01:45:00,2008-11-26 00:00:00,405,5,Rock,[26],"[26, 12]",,354,en,Attribution-NonCommercial-NoDerivatives (aka Music Sharing) 3.0 International,424,,2,,[],Hundred-Year Flood,0.9883055496,0.2556609004,0.9797737929,0.9730057241,0.121342,0.0517397623,90.241,0.0340178672
154,256000,0,Arc and Sender,2008-11-26 01:45:04,2008-11-26 00:00:00,319,1,Rock,[26],"[26, 12]",,242,en,Attribution-NonCommercial-NoDerivatives (aka Music Sharing) 3.0 International,205,,4,,[],Squares And Circles,0.9701348869,0.3529461312,0.0238515619,0.9571128852,0.1132607212,0.0321767642,53.758,0.035631561
155,192000,0,,2008-11-26 01:45:10,2008-11-26 00:00:00,756,1,Rock,[26],"[26, 12]",,268,en,Attribution-NonCommercial-NoDerivatives (aka Music Sharing) 3.0 International,197,,0,,[],Maps of the Stars Homes,0.9816573443,0.1422492483,0.9121220855,0.9672939775,0.3635095155,0.0875269884,91.912,0.0343252564
169,192000,0,James Squeaky,2008-11-26 01:46:02,2006-01-01 00:00:00,144,1,Rock,[25],"[25, 12]",,815,en,Attribution-NonCommercial-ShareAlike 3.0 International,270,,1,,[],Boss of Goth,0.989141175,0.2259775281,0.7228348527,0.2630762793,0.0923705318,0.0534063523,94.322,0.0283472078
170,192000,0,,2008-11-26 01:46:05,2006-10-07 00:00:00,181,0,Rock,[25],"[25, 12]",,468,en,Attribution-NonCommercial-ShareAlike 3.0 International,122,,2,,[],Industry Standard Massacre,0.8866597102,0.2985183025,0.7443325625,0.9209504901,0.1395870184,0.0887810414,97.88,0.0735475474
171,320000,0,,2008-11-26 01:46:07,2008-11-26 00:00:00,80,0,Rock,[25],"[25, 12]",<p>Unreleased</p>,582,en,Attribution-NonCommercial-ShareAlike 3.0 International,242,,2,,[],Marching as Technitions,0.6982777611,0.2858156458,0.2134937338,0.9556913003,0.0870359278,0.0640938189,125.645,0.1505991359
172,192000,0,James Squeaky,2008-11-26 01:46:08,2007-06-01 00:00:00,206,0,Rock,[25],"[25, 12]",,468,en,Attribution-NonCommercial-ShareAlike 3.0 International,90,,3,,[],I Can't Stand You Up-right,0.8155489042,0.1441250712,0.8927211866,0.9004301244,0.1047034668,0.1022936576,138.68,0.0349164186
173,192000,0,James Squeaky,2008-11-26 01:46:12,2006-01-01 00:00:00,218,0,Rock,[25],"[25, 12]",,475,en,Attribution-NonCommercial-ShareAlike 3.0 International,177,,4,,[],Save Life's Golden Receipt In Case Refund Needed,0.8421128878,0.2852932287,0.5646886968,0.9516243456,0.1104813781,0.0406105474,166.552,0.254299214
174,192000,0,James Squeaky,2008-11-26 01:46:14,2006-01-01 00:00:00,199,0,Rock,[25],"[25, 12]",,405,en,Attribution-NonCommercial-ShareAlike 3.0 International,116,,6,,[],Senator's Stance,0.3673926458,0.3396980706,0.8466394386,0.9091861794,0.1989439803,0.4626074726,70.887,0.0482427328
175,192000,0,,2008-11-26 01:46:16,2006-10-07 00:00:00,111,0,Rock,[25],"[25, 12]",,365,en,Attribution-NonCommercial-ShareAlike 3.0 International,72,,6,,[],Snapped Today,0.9939276168,0.3100899771,0.9524931303,0.2743114791,0.3542305191,0.8257439071,69.413,0.0334023117
