track_id,bit_rate,comments,composer,date_created,date_recorded,duration,favorites,genres,genres_all,information,interest,language_code,license,listens,lyricist,number,publisher,tags,title,acousticness,danceability,energy,instrumentalness,liveness,speechiness,tempo,valence
44206,320000,0,,2011-02-23 18:01:48,,291,1,[31],"[12, 31]",,871,,Attribution-NonCommercial-NoDerivatives (aka Music Sharing) 3.0 International,567,,13,,[],Epitaph,0.0104865347,0.2511154425,0.9820864204,0.8302433988,0.213312213,0.0793150101,135.458,0.0394227037
54735,320000,1,,2011-10-12 23:59:39,,249,19,"[25, 89]","[89, 25, 12]",,4801,,Attribution-NonCommercial-NoDerivatives (aka Music Sharing) 3.0 International,3600,,6,,[],Drums Over London,0.0059690486,0.3471613926,0.8963865267,2.9036e-06,0.2729779133,0.0327969211,93.812,0.9395043545
36987,128000,0,,2010-10-06 15:15:56,,76,6,[21],[21],,6428,,Attribution-NonCommercial-ShareAlike 3.0 International,3857,,5,,[],james p. funk 2,0.9430277551,0.516776655,0.1141570309,0.963264314,0.1138413951,0.0380079772,167.913,0.8134710468
18200,256000,0,,2009-08-24 14:32:48,,144,3,[58],"[58, 12]",,1893,en,Attribution-Noncommercial-Share Alike 3.0 New Zealand,534,,7,,['new zealand'],Ada,0.9816154413,0.5295769464,0.314415183,0.9706089562,0.111988429,0.0276509994,101.851,0.5459368301
20932,256000,0,,2009-11-12 12:01:27,,287,0,"[66, 89]","[89, 66, 12, 25]",,233,en,Attribution-Noncommercial-No Derivative Works 3.0 United States,285,,5,,[],Why,0.5097876594,0.3794686084,0.4254167257,0.9449892999,0.1665005128,0.0288885625,100.683,0.6446533893
18094,320000,0,,2009-08-18 09:02:20,,163,0,[21],[21],,189,en,Attribution-Noncommercial-No Derivative Works 3.0 United States,163,,0,,[],Fist State of Mind ARSUN FIST,0.940293078,0.4443867589,0.6020163985,2.188e-07,0.2797711214,0.3755697111,173.078,0.6883767408
3697,256000,0,,2008-12-04 20:08:39,2005-12-06 00:00:00,336,1,[12],[12],"<p><span>Unleashed upon the public in the summer of 2005, The Hank Four is a San Francisco five-piece rock combo trafficking in a mix of dual-guitar histrionics, panic-skiffle drum beats, primitive craw-stick melodics, and straw-boss vocal gymnastics. Includes former members of Icky Boyfriends, The Roofies, Resineators, and The Leather Uppers. Likely to appeal to fans of Thomas Jefferson Slave Apartments, Flipper, and Country Teasers. www.hankiv.com. The band is: Anthony Bedard (Vocal, guitar), Chris Portfolio (Bass), Andy Oglesby (Guitar), Don Alan (Drums), Bob McDonald (Lead Vox). Songs: Crime of the Scene / Family As Old As Adam / Melonhead / Mimehunter / Got Got? / Tonight We Ride / Hole In My Eye</span> (http://www.wfmu.org/playlists/shows/17224)</p>",950,en,Attribution-NonCommercial-ShareAlike 3.0 International,282,,7,,[],Hole In My Eye,0.5902556756,0.3936061325,0.6990166537,0.708077777,0.1149651749,0.046930691,155.441,0.1123787942
124184,320000,0,,2015-08-26 12:47:14,,230,1,[31],"[12, 31]",,3366,,Attribution-NonCommercial-ShareAlike,2722,,1,,[],Heist,0.0222608998,0.6386716883,0.9551085729,0.8027450523,0.3528973583,0.072760912,124.996,0.1433875398
3866,256000,0,,2008-12-04 20:25:54,2008-11-13 00:00:00,2016,1,"[12, 25, 58, 71]","[25, 58, 12, 71]","<p><span>Trekking up from Monterrey, Mexico and making their debut in NYC at last, Los Llamarada take equal parts No Wave nihilism and cosmos-channelling confusion, attending FMU staffers at our March SXSW show in Austin are still talking about the live greatness that is this band. Lineup: Sagan (vox, synth), Estrella (synth/vox), Johnny Noise (guitar): Danyhell (drums). See their <a href=""http://www.myspace.com/losllamarada""> My Space page</a> and check out <a href=""http://www.s-srecords.com/""> S-S</a> (their brand new LP out is called ""Take the Sky"") and <a href=""http://www.myspace.com/avantrecords""> Avant</a> for their wax. See top of the playlist page here for a video clip from the studio, and you can download the session as an MP3 in two parts.</span></p>",730,en,Attribution-NonCommercial-ShareAlike 3.0 International,379,,1,,[],Part 01,0.9737563125,0.363122266,0.5763768387,0.8928456551,0.1250049495,0.135111723,135.088,0.1838420625
17782,192000,0,,2009-08-06 10:45:47,,273,17,[21],[21],,4419,en,Attribution-Share Alike 3.0 United States,2812,,6,,[],Sit on the Moon,0.1100413549,0.6576933764,0.6983211793,0.2514573339,0.0953450358,0.3449464557,157.028,0.6924511469
